generation  learning rate  batch error

         5       0.380952   2.05175844
        10       0.363636   1.15692151
        15       0.347826   1.19593614
        20       0.333333   0.97581009
        25       0.320000   0.91920923
        30       0.307692   0.68342206
        35       0.296296   0.52916541
        40       0.285714   0.71691952
        45       0.275862   0.94506692
        50       0.266667   0.78210221

accuracy 0.8351

        55       0.258065   0.75461961
        60       0.250000   0.61244034
        65       0.242424   0.60122095
        70       0.235294   0.52093492
        75       0.228571   0.61077939
        80       0.222222   0.91817227
        85       0.216216   0.54139632
        90       0.210526   0.50164487
        95       0.205128   0.64046039
       100       0.200000   0.60870028

accuracy 0.8512

       105       0.195122   0.61472014
       110       0.190476   0.66018156
       115       0.186047   0.64200125
       120       0.181818   0.51089107
       125       0.177778   0.78029180
       130       0.173913   0.48633862
       135       0.170213   0.48704506
       140       0.166667   0.46487146
       145       0.163265   0.45401501
       150       0.160000   0.52371480

accuracy 0.88

       155       0.156863   0.50385501
       160       0.153846   0.62623462
       165       0.150943   0.56313331
       170       0.148148   0.69284343
       175       0.145455   0.55552500
       180       0.142857   0.47745337
       185       0.140351   0.48003912
       190       0.137931   0.65451553
       195       0.135593   0.67397232
       200       0.133333   0.37826798

accuracy 0.8834

       205       0.131148   0.83311066
       210       0.129032   0.85219531
       215       0.126984   0.48143829
       220       0.125000   0.64802969
       225       0.123077   0.59547864
       230       0.121212   0.80592275
       235       0.119403   0.42613390
       240       0.117647   0.52109499
       245       0.115942   0.59737598
       250       0.114286   0.57036370

accuracy 0.8904

       255       0.112676   0.66970375
       260       0.111111   0.54414442
       265       0.109589   0.61498377
       270       0.108108   0.46375642
       275       0.106667   0.71664822
       280       0.105263   0.43974410
       285       0.103896   0.53850730
       290       0.102564   0.63129598
       295       0.101266   0.48381357
       300       0.100000   0.71380871

accuracy 0.8968

       305       0.098765   0.53816329
       310       0.097561   0.80165852
       315       0.096386   0.68457406
       320       0.095238   0.81725457
       325       0.094118   0.68478947
       330       0.093023   0.43492686
       335       0.091954   0.72409511
       340       0.090909   0.36759307
       345       0.089888   0.47182414
       350       0.088889   0.51458075

accuracy 0.8949

       355       0.087912   0.68447502
       360       0.086957   0.62485078
       365       0.086022   0.31322283
       370       0.085106   0.61198388
       375       0.084211   0.55042352
       380       0.083333   0.33959004
       385       0.082474   0.38914748
       390       0.081633   0.47616744
       395       0.080808   0.39481202
       400       0.080000   0.55196824

accuracy 0.8978

       405       0.079208   0.35437397
       410       0.078431   0.52746254
       415       0.077670   0.54528759
       420       0.076923   0.40046090
       425       0.076190   0.50888136
       430       0.075472   0.43411045
       435       0.074766   0.41541784
       440       0.074074   0.49412185
       445       0.073394   0.35970919
       450       0.072727   0.49303509

accuracy 0.9005


reached accuracy of 0.9005 after 450 generations
