read 150 samples

generation  learning rate  model error  accuracy

      1000         0.0833     0.317227    0.9667
      2000         0.0714     0.287008    0.9800
      3000         0.0625     0.285173    0.9733
      4000         0.0556     0.276767    0.9867
      5000         0.0500     0.276189    0.9867
      6000         0.0455     0.274934    0.9733
      7000         0.0417     0.273073    0.9800
      8000         0.0385     0.272493    0.9867
      9000         0.0357     0.274341    0.9800
     10000         0.0333     0.271381    0.9867
     11000         0.0312     0.275212    0.9800
     12000         0.0294     0.271328    0.9867
     13000         0.0278     0.270729    0.9867
     14000         0.0263     0.270605    0.9867
     15000         0.0250     0.270033    0.9800
     16000         0.0238     0.270440    0.9867
     17000         0.0227     0.271187    0.9867
     18000         0.0217     0.270532    0.9867
     19000         0.0208     0.269344    0.9867
     20000         0.0200     0.269139    0.9867
     21000         0.0192     0.269551    0.9867

reached prediction accuracy of 0.993 after 21500 generations
