generation  batch error  model error

       100   0.00141235   0.04709874
       200   0.00224860   0.04895367
       300   0.00541667   0.04855231
       400   0.00696726   0.05015085
       500   0.00539061   0.04558153
       600   0.00100269   0.04594845
       700   0.00819684   0.04382438
       800   0.00147105   0.04116696
       900   0.01206996   0.04030533
      1000   0.00280081   0.04168144
      1100   0.00109415   0.03884133
      1200   0.00505236   0.06659530
      1300   0.00431920   0.03535573
      1400   0.00146990   0.04052274
      1500   0.00050836   0.03531882
      1600   0.00108526   0.03008314
      1700   0.00058783   0.02745768
      1800   0.00045460   0.02468093
      1900   0.00036979   0.02287329
      2000   0.00027942   0.01982545
      2100   0.00295544   0.05777237
      2200   0.00056946   0.01705818
      2300   0.00016082   0.01664478

model error after 2311 generations: 0.014989352204299054

  x      sqrt x   predicted       error

0.0  0.00000000  0.24886879  0.24886879
0.1  0.31622777  0.34095163  0.02472386
0.2  0.44721360  0.43075060  0.01646299
0.3  0.54772256  0.51731667  0.03040588
0.4  0.63245553  0.59992699  0.03252855
0.5  0.70710678  0.67809987  0.02900691
0.6  0.77459667  0.75158642  0.02301025
0.7  0.83666003  0.82034408  0.01631595
0.8  0.89442719  0.88449911  0.00992808
0.9  0.94868330  0.94430451  0.00437879
1.0  1.00000000  1.00009881  0.00009881
1.1  1.04880885  1.05226939  0.00346055
1.2  1.09544512  1.10122213  0.00577702
1.3  1.14017543  1.14735815  0.00718273
1.4  1.18321596  1.19105721  0.00784126
1.5  1.22474487  1.23266684  0.00792197
1.6  1.26491106  1.27249618  0.00758511
1.7  1.30384048  1.31081343  0.00697295
1.8  1.34164079  1.34784585  0.00620507
1.9  1.37840488  1.38378153  0.00537666
2.0  1.41421356  1.41877229  0.00455873
2.1  1.44913767  1.45293720  0.00379952
2.2  1.48323970  1.48636641  0.00312671
2.3  1.51657509  1.51912501  0.00254992
2.4  1.54919334  1.55125675  0.00206341
2.5  1.58113883  1.58278758  0.00164875
2.6  1.61245155  1.61372893  0.00127739
2.7  1.64316767  1.64408064  0.00091296
2.8  1.67332005  1.67383359  0.00051353
2.9  1.70293864  1.70297210  0.00003346
3.0  1.73205081  1.73147592  0.00057489
3.1  1.76068169  1.75932203  0.00135965
3.2  1.78885438  1.78648613  0.00236825
3.3  1.81659021  1.81294387  0.00364634
3.4  1.84390889  1.83867193  0.00523697
3.5  1.87082869  1.86364879  0.00717991
3.6  1.89736660  1.88785541  0.00951118
3.7  1.92353841  1.91127570  0.01226271
3.8  1.94935887  1.93389681  0.01546206
3.9  1.97484177  1.95570935  0.01913241
4.0  2.00000000  1.97670751  0.02329249
